name,full_name,age,date_of_birth,place_of_birth,nationality,height_cm,foot,current_club,position,shirt_number,joined_club,contract_until,market_value,max_market_value,matches_played,goals,assists,minutes_played,yellow_cards,red_cards,error
Wout Faes,Wout Felix Lina Faes,27,03/04/1998,Mol,Belgium,187,right,Monaco,Defender - Centre-Back,25,13/01/2026,30/06/2026,€12.00m,,,,,,,,
Mohammed Salisu,Mohammed Salisu Abdul Karim,26,17/04/1999,Kumasi,Ghana,188,left,Monaco,Defender - Centre-Back,22,01/08/2023,30/06/2028,€10.00m,,,,,,,,
Eric Dier,Eric Jeremy Edgar Dier,32,15/01/1994,Cheltenham,"England, Portugal",191,right,Monaco,Defender - Centre-Back,3,01/07/2025,30/06/2028,€7.00m,,,,,,,,
Caio Henrique,,28,31/07/1997,Santos,"Brazil, Spain",178,left,Monaco,Defender - Left-Back,12,27/08/2020,30/06/2027,€15.00m,,,,,,,,
Kassoum Ouattara,,21,14/10/2004,Paris,"France, Cote d'Ivoire",184,left,Monaco,Defender - Left-Back,20,01/11/2023,30/06/2028,€9.00m,,,,,,,,
Vanderson,,24,21/06/2001,Rondonópolis,Brazil,173,right,Monaco,Defender - Right-Back,2,01/01/2022,30/06/2028,€20.00m,,,,,,,,
Jordan Teze,,26,30/09/1999,Groningen,"Netherlands, DR Congo",183,right,Monaco,Defender - Right-Back,4,20/08/2024,30/06/2029,€12.00m,,,,,,,,
Denis Zakaria,Denis Lemi Zakaria Lako Lado,29,20/11/1996,Genf,"Switzerland, DR Congo",190,right,Monaco,Midfield - Defensive Midfield,6,14/08/2023,30/06/2028,€25.00m,,,,,,,,
Aladji Bamba,,19,14/07/2006,Blois,"France, Guinea",181,right,Monaco,Midfield - Defensive Midfield,23,01/07/2025,30/06/2030,€3.50m,,,,,,,,
Lamine Camara,,22,01/01/2004,Diouloulou,Senegal,173,right,Monaco,Midfield - Central Midfield,15,30/07/2024,30/06/2029,€30.00m,,,,,,,,
Mamadou Coulibaly,,21,21/04/2004,Paris,"France, Mali",179,left,Monaco,Midfield - Central Midfield,28,01/07/2025,30/06/2028,€8.00m,,,,,,,,
Paul Pogba,Paul Labile Pogba,32,15/03/1993,Lagny-sur-Marne,"France, Guinea",191,both,Monaco,Midfield - Central Midfield,8,01/07/2025,30/06/2027,€5.00m,,,,,,,,
Aleksandr Golovin,Головин Александр Сергеевич,29,30/05/1996,"Kaltan, Kemerovo Oblast",Russia,178,right,Monaco,Midfield - Attacking Midfield,10,27/07/2018,30/06/2029,€18.00m,,,,,,,,
Stanis Idumbo,Stanis Idumbo Muzambo,20,29/06/2005,Melun,"Belgium, DR Congo",171,right,Monaco,Midfield - Attacking Midfield,17,30/08/2025,30/06/2030,€5.00m,,,,,,,,
Simon Adingra,,24,01/01/2002,Abobo,Cote d'Ivoire,175,right,Monaco,Attack - Left Winger,24,02/02/2026,30/06/2026,€22.00m,,,,,,,,
Takumi Minamino,南野 拓実,31,16/01/1995,"Izumisano, Osaka",Japan,172,right,Monaco,Attack - Left Winger,18,01/07/2022,30/06/2027,€12.00m,,,,,,,,
Ansu Fati,Anssumane Fati Vieira,23,31/10/2002,Bissau,"Spain, Guinea-Bissau",178,right,Monaco,Attack - Left Winger,31,01/07/2025,30/06/2026,€10.00m,,,,,,,,
Maghnes Akliouche,,23,25/02/2002,Tremblay-en-France,"France, Algeria",183,left,Monaco,Attack - Right Winger,11,01/07/2022,30/06/2028,€45.00m,,,,,,,,
Krépin Diatta,,26,25/02/1999,Dakar,Senegal,175,right,Monaco,Attack - Right Winger,27,21/01/2021,30/06/2026,€6.00m,,,,,,,,
Folarin Balogun,Folarin Jolaoluwa Jerry Balogun,24,03/07/2001,"New York City, New York","United States, England",178,right,Monaco,Attack - Centre-Forward,9,30/08/2023,30/06/2028,€22.00m,,,,,,,,
Mika Biereth,Mika Miles Biereth,23,08/02/2003,London,"Denmark, England",187,right,Monaco,Attack - Centre-Forward,14,11/01/2025,30/06/2030,€22.00m,,,,,,,,
Paris Brunner,Paris Josua Brunner,20,15/02/2006,Dortmund,"Germany, DR Congo",186,right,Monaco,Attack - Centre-Forward,29,16/08/2024,30/06/2028,€1.50m,,,,,,,,
Mike Penders,Mike Louis Penders,20,31/07/2005,Maasmechelen,Belgium,200,left,R. Strasbourg,Goalkeeper,39,28/07/2025,30/06/2026,€15.00m,,,,,,,,
Stefan Bajic,Stefan Bajić,24,23/12/2001,Saint-Étienne,"France, Serbia",188,right,R. Strasbourg,Goalkeeper,50,16/08/2025,30/06/2026,€500k,,,,,,,,
Karl-Johan Johnsson,,36,28/01/1990,Ränneslöv,Sweden,188,right,R. Strasbourg,Goalkeeper,1,16/08/2024,30/06/2026,€250k,,,,,,,,
Ismaël Doukouré,,22,24/07/2003,Lille,"France, Cote d'Ivoire",183,right,R. Strasbourg,Defender - Centre-Back,6,29/01/2022,30/06/2028,€18.00m,,,,,,,,
Aarón Anselmino,,20,29/04/2005,Bernardo Larroudé,Argentina,186,right,R. Strasbourg,Defender - Centre-Back,5,02/02/2026,30/06/2026,€12.00m,,,,,,,,
Lucas Høgsberg,,19,23/06/2006,Farum,Denmark,187,right,R. Strasbourg,Defender - Centre-Back,24,09/08/2025,30/06/2030,€12.00m,,,,,,,,
Andrew Omobamidele,Andrew Abiola Omobamidele,23,23/06/2002,Leixlip,"Ireland, Nigeria",188,right,R. Strasbourg,Defender - Centre-Back,2,01/07/2025,30/06/2029,€7.00m,,,,,,,,
Ben Chilwell,Benjamin James Chilwell,29,21/12/1996,Milton Keynes,"England, New Zealand",180,left,R. Strasbourg,Defender - Left-Back,3,01/09/2025,30/06/2027,€12.00m,,,,,,,,
Guéla Doué,Guéla Maho Lewis Doué,23,17/10/2002,Angers,"Cote d'Ivoire, France",186,right,R. Strasbourg,Defender - Right-Back,22,26/07/2024,30/06/2029,€18.00m,,,,,,,,
Junior Mwanga,,22,11/05/2003,Lyon,"France, DR Congo",184,both,R. Strasbourg,Midfield - Defensive Midfield,18,08/08/2023,30/06/2027,€7.00m,,,,,,,,
Maxi Oyedele,Maximillian Oyedele,21,07/11/2004,Salford,"Poland, England",183,right,R. Strasbourg,Midfield - Defensive Midfield,8,16/07/2025,30/06/2030,€4.00m,,,,,,,,
Rafael Luís,Rafael Filipe Gonçalves Soares Luís,20,18/02/2005,Amadora,Portugal,188,left,R. Strasbourg,Midfield - Defensive Midfield,83,17/08/2025,30/06/2026,€4.00m,,,,,,,,
Valentín Barco,,21,23/07/2004,25 de Mayo,Argentina,170,left,R. Strasbourg,Midfield - Central Midfield,32,02/07/2025,30/06/2029,€25.00m,,,,,,,,
Mathis Amougou,,20,18/01/2006,Le Blanc-Mesnil,"France, Cameroon",177,right,R. Strasbourg,Midfield - Central Midfield,17,12/07/2025,30/06/2030,€10.00m,,,,,,,,
Samir El Mourabet,سمير المرابط,20,06/10/2005,Strasbourg,"Morocco, France",186,left,R. Strasbourg,Midfield - Central Midfield,29,01/07/2025,30/06/2030,€8.00m,,,,,,,,
Diego Moreira,Diego Manuel Jadon da Silva Moreira,21,06/08/2004,Liège,"Belgium, Portugal",179,left,R. Strasbourg,Midfield - Left Midfield,7,16/08/2024,30/06/2029,€18.00m,,,,,,,,
Sebastian Nanasi,Algot Sebastian Nanasi,23,16/05/2002,Kristianstad,"Sweden, Hungary",178,right,R. Strasbourg,Midfield - Left Midfield,11,23/08/2024,30/06/2029,€15.00m,,,,,,,,
Julio Enciso,Julio César Enciso Espínola,22,23/01/2004,Caaguazú,Paraguay,173,right,R. Strasbourg,Midfield - Attacking Midfield,19,01/09/2025,30/06/2029,€20.00m,,,,,,,,
Martial Godo,Becket Fabrice-Martial Godo,22,14/03/2003,London,"Cote d'Ivoire, England",177,right,R. Strasbourg,Attack - Left Winger,20,01/09/2025,30/06/2030,€7.00m,,,,,,,,
Abdoul Ouattara,Abdoul Guemissongui Ouattara,20,22/10/2005,Zoukpangbeu,"Cote d'Ivoire, France",180,,R. Strasbourg,Attack - Right Winger,42,01/01/2025,30/06/2029,€9.00m,,,,,,,,
Samuel Amo-Ameyaw,Samuel Christian Osaze Amo-Ameyaw,19,18/07/2006,London,"England, Ghana",174,left,R. Strasbourg,Attack - Right Winger,27,01/07/2025,30/06/2029,€8.00m,,,,,,,,
Gessime Yassine,جاسم ياسين,20,22/11/2005,Salon-de-Provence,"Morocco, France",172,left,R. Strasbourg,Attack - Right Winger,80,17/01/2026,30/06/2030,€6.00m,,,,,,,,
Emmanuel Emegha,Emmanuel Esseh Emegha,23,03/02/2003,Den Haag,"Netherlands, Nigeria",196,right,R. Strasbourg,Attack - Centre-Forward,10,22/07/2023,30/06/2028,€28.00m,,,,,,,,
Joaquín Panichelli,,23,07/10/2002,Córdoba,Argentina,190,right,R. Strasbourg,Attack - Centre-Forward,9,27/07/2025,30/06/2030,€25.00m,,,,,,,,
David Datro Fofana,,23,22/12/2002,Ouragahio,Cote d'Ivoire,182,right,R. Strasbourg,Attack - Centre-Forward,15,02/02/2026,30/06/2026,€5.00m,,,,,,,,
Berke Özer,,25,25/05/2000,Izmir,Türkiye,191,right,Lille,Goalkeeper,1,14/08/2025,30/06/2029,€10.00m,,,,,,,,
Arnaud Bodart,,27,11/03/1998,Seraing,Belgium,186,right,Lille,Goalkeeper,16,01/07/2025,30/06/2027,€2.00m,,,,,,,,
Marc-Aurèle Caillard,,31,12/05/1994,Melun,France,192,right,Lille,Goalkeeper,30,30/08/2024,30/06/2026,€100k,,50,64,12,,,,
Alexsandro,,26,09/08/1999,Rio de Janeiro,Brazil,191,both,Lille,Defender - Centre-Back,4,01/07/2022,30/06/2028,€20.00m,,,,,,,,
Nathan Ngoy,,22,10/06/2003,Brussel,"Belgium, DR Congo",183,right,Lille,Defender - Centre-Back,3,24/07/2025,30/06/2029,€10.00m,,,,,,,,
Chancel Mbemba,Chancel Mbemba Mangulu,31,08/08/1994,Kinshasa,DR Congo,182,right,Lille,Defender - Centre-Back,18,01/09/2025,30/06/2026,€2.50m,,,,,,,,
Aïssa Mandi,عيسى ماندي,34,22/10/1991,Châlons-en-Champagne,"Algeria, France",186,right,Lille,Defender - Centre-Back,23,01/08/2024,30/06/2026,€1.00m,,,,,,,,
Rafael Fernandes,Rafael Tavares Gomes Fernandes,23,28/06/2002,Setúbal,Portugal,191,right,Lille,Defender - Centre-Back,,31/01/2024,30/06/2028,€600k,,,,,,,,
Ousmane Touré,,20,18/02/2005,Lille,"France, Mali",187,right,Lille,Defender - Centre-Back,36,01/07/2024,30/06/2028,€500k,,,,,,,,
Romain Perraud,Romain Paul Jean-Michel Perraud,28,22/09/1997,Toulouse,France,173,left,Lille,Defender - Left-Back,15,08/08/2025,30/06/2028,€7.00m,,,,,,,,
Calvin Verdonk,Calvin Ronald Verdonk,28,26/04/1997,Dordrecht,"Indonesia, Netherlands",174,left,Lille,Defender - Left-Back,24,01/09/2025,30/06/2028,€3.00m,,,,,,,,
Tiago Santos,Tiago Carvalho Santos,23,23/07/2002,Lisboa,Portugal,175,right,Lille,Defender - Right-Back,22,05/07/2023,30/06/2029,€12.00m,,,,,,,,
Thomas Meunier,Thomas Andre A. Meunier,34,12/09/1991,Bastogne,Belgium,191,right,Lille,Defender - Right-Back,12,19/07/2024,30/06/2026,€1.80m,,,,,,,,
Ngal'ayel Mukau,,21,03/11/2004,Antwerpen,"DR Congo, Belgium",186,left,Lille,Midfield - Defensive Midfield,17,11/07/2024,30/06/2028,€12.00m,,,,,,,,
Nabil Bentaleb,نبيل بن طالب,31,24/11/1994,Lille,"Algeria, France",187,left,Lille,Midfield - Defensive Midfield,6,28/08/2023,30/06/2026,€5.00m,,,,,,,,
Benjamin André,,35,03/08/1990,Nice,France,180,right,Lille,Midfield - Defensive Midfield,21,17/07/2019,30/06/2028,€4.00m,,,,,,,,
Ayyoub Bouaddi,أيوب بوعدي,18,02/10/2007,Senlis,"France, Morocco",186,right,Lille,Midfield - Central Midfield,32,01/07/2023,30/06/2029,€40.00m,,,,,,,,
André Gomes,André Filipe Tavares Gomes,32,30/07/1993,Grijó,Portugal,190,right,Lille,Midfield - Central Midfield,26,06/09/2024,30/06/2026,€4.50m,,,,,,,,
Hákon Arnar Haraldsson,,22,10/04/2003,Akranes,Iceland,178,right,Lille,Midfield - Attacking Midfield,10,17/07/2023,30/06/2030,€22.00m,,,,,,,,
Matías Fernández-Pardo,Matías Fernández-Pardo Picogna,21,03/02/2005,Brussel,"Spain, Belgium",188,right,Lille,Attack - Left Winger,7,30/08/2024,30/06/2029,€20.00m,,,,,,,,
Osame Sahraoui,اسامه صحراوي,24,11/06/2001,Oslo,"Morocco, Norway",170,right,Lille,Attack - Left Winger,11,01/08/2024,30/06/2029,€10.00m,,,,,,,,
Félix Correia,Félix Alexandre Andrade Sanches Correia,25,22/01/2001,Lisboa,"Portugal, Sao Tome and Principe",178,right,Lille,Attack - Left Winger,27,17/07/2025,30/06/2029,€10.00m,,,,,,,,
Ethan Mbappé,Ethan Mbappé Lottin,19,29/12/2006,Montreuil,"France, Cameroon",180,left,Lille,Attack - Right Winger,8,04/07/2024,30/06/2027,€9.00m,,,,,,,,
Marius Broholm,Marius Sivertsen Broholm,21,26/12/2004,Trondheim,Norway,176,left,Lille,Attack - Right Winger,14,01/07/2025,30/06/2030,€6.00m,,,,,,,,
Gaëtan Perrin,,29,07/06/1996,Lyon,France,169,right,Lille,Attack - Right Winger,28,02/02/2026,30/06/2028,€6.00m,,,,,,,,
Noah Edjouma,,20,04/10/2005,Clamart,"France, Cameroon",182,left,Lille,Attack - Right Winger,20,02/02/2026,30/06/2030,€2.50m,,,,,,,,
Hamza Igamane,حمزة إكمان,23,02/11/2002,Témara,Morocco,181,right,Lille,Attack - Centre-Forward,29,29/08/2025,30/06/2030,€18.00m,,,,,,,,
Olivier Giroud,Olivier Jonathan Giroud,39,30/09/1986,Chambéry,France,192,left,Lille,Attack - Centre-Forward,9,01/07/2025,30/06/2026,€1.00m,,,,,,,,
Dominik Greif,,28,06/04/1997,Bratislava,Slovakia,197,right,Lyon,Goalkeeper,1,18/08/2025,30/06/2029,€8.00m,,,,,,,,
Rémy Descamps,,29,25/06/1996,Marcq-en-Barœul,France,196,both,Lyon,Goalkeeper,40,23/08/2024,30/06/2027,€2.00m,,,,,,,,
Lassine Diarra,,23,11/11/2002,Bamako,Mali,190,right,Olymp. Lyon B,Goalkeeper,,04/11/2023,30/06/2028,€50k,,,,,,,,
Moussa Niakhaté,,29,08/03/1996,Roubaix,"Senegal, France",190,left,Lyon,Defender - Centre-Back,19,04/07/2024,30/06/2028,€15.00m,,,,,,,,
Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,33,07/11/1992,Verviers,"Angola, Belgium",180,right,Lyon,Defender - Centre-Back,22,06/07/2023,30/06/2028,€3.00m,,,,,,,,
Ruben Kluivert,Ruben Caine Kluivert,24,21/05/2001,Amsterdam,"Netherlands, Suriname",187,right,Lyon,Defender - Centre-Back,21,25/07/2025,30/06/2030,€2.50m,,,,,,,,
Noham Kamara,Noham Fadjigui Kamara,19,22/01/2007,Meaux,"France, Senegal",185,right,Lyon,Defender - Centre-Back,85,02/02/2026,30/06/2026,€1.00m,,,,,,,,
Abner,,25,27/05/2000,Presidente Prudente,Brazil,181,left,Lyon,Defender - Left-Back,16,05/07/2024,30/06/2029,€7.00m,,,,,,,,
Nicolás Tagliafico,Nicolás Alejandro Tagliafico,33,31/08/1992,Rafael Calzada,"Argentina, Italy",171,left,Lyon,Defender - Left-Back,3,23/07/2022,30/06/2027,€5.00m,,,,,,,,
Achraf Laâziri,أشرف العزيري,22,08/07/2003,Hay Hassani,Morocco,177,left,Lyon,Defender - Left-Back,36,01/07/2023,30/06/2027,€500k,,,,,,,,
Ainsley Maitland-Niles,Ainsley Cory Maitland-Niles,28,29/08/1997,London,"England, Jamaica",180,right,Lyon,Defender - Right-Back,98,07/08/2023,30/06/2027,€10.00m,,,,,,,,
Hans Hateboer,,32,09/01/1994,Beerta,Netherlands,187,right,Lyon,Defender - Right-Back,33,17/10/2025,30/06/2026,€2.00m,,,,,,,,
Tyler Morton,Tyler Scott Morton,23,31/10/2002,Wallasey,England,185,right,Lyon,Midfield - Defensive Midfield,23,05/08/2025,30/06/2030,€18.00m,,,,,,,,
Tanner Tessmann,Francis Tanner James Tessmann,24,24/09/2001,"Birmingham, Alabama",United States,188,right,Lyon,Midfield - Defensive Midfield,6,27/08/2024,30/06/2029,€12.00m,,,,,,,,
Orel Mangala,Orel Johnson Mangala,27,18/03/1998,Brussel,"Belgium, DR Congo",178,right,Lyon,Midfield - Defensive Midfield,5,02/07/2024,30/06/2028,€10.00m,,,,,,,,
Mathys De Carvalho,Mathys de Carvalho Soares,20,01/05/2005,Lyon,"Portugal, France",183,right,Lyon,Midfield - Defensive Midfield,39,11/07/2025,30/06/2028,€4.00m,,,,,,,,
Corentin Tolisso,,31,03/08/1994,Tarare,"France, Togo",181,right,Lyon,Midfield - Central Midfield,8,01/07/2022,30/06/2027,€12.00m,,,,,,,,
Khalis Merah,,18,24/02/2007,Meyzieu,"France, Algeria",178,right,Lyon,Midfield - Central Midfield,44,01/07/2025,30/06/2029,€8.00m,,,,,,,,
Pavel Sulc,Pavel Šulc,25,29/12/2000,Karlovy Vary,Czech Republic,177,right,Lyon,Midfield - Attacking Midfield,10,04/08/2025,30/06/2029,€12.00m,,,,,,,,
Adam Karabec,,22,02/07/2003,Praha,Czech Republic,187,left,Lyon,Midfield - Attacking Midfield,7,12/08/2025,30/06/2026,€8.00m,,,,,,,,
